precinct_id,county,precinct_name,precinct_number,ward,polling_location_ids,source,INTERNAL_notes
330190016,BONNEVILLE,39,39,,440190016,Idaho Elections Division,
330190017,BONNEVILLE,25,25,,440190017,Idaho Elections Division,
330190018,BONNEVILLE,23,23,,440190018,Idaho Elections Division,
330190019,BONNEVILLE,4,4,,440190019,Idaho Elections Division,
330190020,BONNEVILLE,26,26,,440190020,Idaho Elections Division,
330190021,BONNEVILLE,12,12,,440190021,Idaho Elections Division,
330190022,BONNEVILLE,49,49,,440190022,Idaho Elections Division,
330190023,BONNEVILLE,42,42,,440190023,Idaho Elections Division,
330190024,BONNEVILLE,40,40,,440190024,Idaho Elections Division,
330190025,BONNEVILLE,57,57,,440190025,Idaho Elections Division,
330190026,BONNEVILLE,17,17,,440190026,Idaho Elections Division,
330190027,BONNEVILLE,19,19,,440190027,Idaho Elections Division,
330190028,BONNEVILLE,15,15,,440190028,Idaho Elections Division,
330190029,BONNEVILLE,52,52,,440190029,Idaho Elections Division,
330190030,BONNEVILLE,51,51,,440190030,Idaho Elections Division,
330190031,BONNEVILLE,38,38,,440190031,Idaho Elections Division,
330190032,BONNEVILLE,37,37,,440190032,Idaho Elections Division,
330190033,BONNEVILLE,24,24,,440190033,Idaho Elections Division,
330190034,BONNEVILLE,59,59,,440190034,Idaho Elections Division,
330190035,BONNEVILLE,14,14,,440190035,Idaho Elections Division,
330190036,BONNEVILLE,13,13,,440190036,Idaho Elections Division,
330190037,BONNEVILLE,41,41,,440190036,Idaho Elections Division,
330190038,BONNEVILLE,27,27,,440190037,Idaho Elections Division,
330190039,BONNEVILLE,3,3,,440190038,Idaho Elections Division,
330190040,BONNEVILLE,18,18,,440190039,Idaho Elections Division,
330190041,BONNEVILLE,48,48,,440190040,Idaho Elections Division,
330190042,BONNEVILLE,43,43,,440190041,Idaho Elections Division,
330190043,BONNEVILLE,1,1,,440190042,Idaho Elections Division,
330190044,BONNEVILLE,21,21,,440190042,Idaho Elections Division,
330190045,BONNEVILLE,8,8,,440190043,Idaho Elections Division,
330190046,BONNEVILLE,58,58,,440190044,Idaho Elections Division,
330190047,BONNEVILLE,44,44,,440190045,Idaho Elections Division,
330190048,BONNEVILLE,53,53,,440190045,Idaho Elections Division,
330190049,BONNEVILLE,55,55,,440190046,Idaho Elections Division,
330190050,BONNEVILLE,54,54,,440190047,Idaho Elections Division,
330210001,BOUNDARY,1,1,,440210001,Idaho Elections Division,
330210002,BOUNDARY,6,6,,440210001,Idaho Elections Division,
330210003,BOUNDARY,2,2,,440210002,Idaho Elections Division,
330210004,BOUNDARY,7,7,,440210003,Idaho Elections Division,
330210005,BOUNDARY,4,4,,440210004,Idaho Elections Division,
330210006,BOUNDARY,5,5,,440210005,Idaho Elections Division,
330230001,BUTTE,1,1,,440230001,Idaho Elections Division,
330230002,BUTTE,2,2,,440230001,Idaho Elections Division,
330230003,BUTTE,3,3,,440230002,Idaho Elections Division,
330230004,BUTTE,4,4,,440230003,Idaho Elections Division,
330250001,CAMAS,1,1,,440250001,Idaho Elections Division,
330250002,CAMAS,2,2,,440250002,Idaho Elections Division,
330270001,CANYON,18-10,18-10,,440270001,Idaho Elections Division,
330270002,CANYON,19-10,19-10,,440270001,Idaho Elections Division,
330270003,CANYON,11,11,,440270045,Idaho Elections Division,
330270004,CANYON,13-10,13-10,,440270002,Idaho Elections Division,
330270005,CANYON,4,4,,440270003,Idaho Elections Division,
330270006,CANYON,07-10,07-10,,440270003,Idaho Elections Division,
330270007,CANYON,8,8,,440270004,Idaho Elections Division,
330270008,CANYON,08-10,08-10,,440270004,Idaho Elections Division,
330270009,CANYON,22,22,,440270005,Idaho Elections Division,
330270010,CANYON,33-11,33-11,,440270046,Idaho Elections Division,
330270011,CANYON,6,6,,440270006,Idaho Elections Division,
330270012,CANYON,14-10,14-10,,440270006,Idaho Elections Division,
